townland,county,entity_id,class_code,monument_type,latitude,longitude,web_notes,website_link
Ballyvouskill,Cork,CO07055,FISC,Stone circle - five-stone,52.012183,-9.087011,"In cut-away bog, on saddle between two hills at NE end of Derrynasaggart Mountains. Probable axial stone and four prostrate slabs survive. Estimated main axis is aligned WNW-ESE. Circle is surrounded by fosse (D c. 0.3m; Wth 2m-2.5m), c. 12m diameter from outer rim to outer rim. Slight traces of external bank visible along E side.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-056----
Cloghboola Beg,Cork,CO07087,FISC,Stone circle - five-stone,52.015682,-9.012197,"On platform, on NW-facing slope of Mushera Mountains at head of Owenbaun River valley. Circle complete; entrance stones parallel, set end-on to circumference. Orthostats are 0.85m to 1.5m L, 0.1m to 0.3m T and, apart from stump of W side stone (H 0.15m), 1m to 1.5m H. Internal measurement along main axis, aligned NE-SW, is 3m. Complex also includes radial-stone enclosure (6492), standing stone (6647) and number of prostrate slabs (CO048-080001-) to S.(O Nualláin 1984a, 31, no. 53)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-080002-
Glantane East,Cork,CO07100,MUSC,Stone circle - multiple-stone,51.998561,-9.047739,"In small copse, beside farmstead on east side of Keel River valley. Circle comprises eleven stones, one of which is displaced and lies immediately S of axial stone. Orthostats are 0.55m to 1.3m L, 0.2m to 0.6m T and 0.5m to 0.9m H. Stones decrease in height from entrance to axial stone. Internal measurement along main axis, aligned NNE-SSW, is 5.1m. (O Nualláin 1984a, 12, no. 3)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-090----
Glantane East,Cork,CO07103,MUSC,Stone circle - multiple-stone,52.004536,-9.045009,"On tract of partially reclaimed moorland, on E side of Keel River valley. Circle incomplete; may have consisted of eleven or perhaps thirteen stones. Six erect stones survive; five form arc to E. Orthostats are 0.8m to 1.05m L, 0.15m to 0.35m T and 0.5m to 1m H. Internal diameter of circle is c.4.5m. Pit at centre is modern. Circle is surrounded by fosse (D 0.6m; Wth 2m-2.5m), measuring 10m diameter from outer rim to outer rim. Slight traces of external bank. Pillar-like stone set on edge along outer face of fosse and second pillar-like stone lies 8m to SE of circle. Wedge tomb (6406) stands 100m to S, pair of standing stones (6551) c. 250m to NE and radial-stone enclosure (6493) c. 350m to NE.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009  This monument is subject to a preservation order made under the National Monuments Acts 1930 to 2014 (PO no. 171/1941).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-093----
Knocknakilla,Cork,CO07106,FISC,Stone circle - five-stone,52.006446,-9.02402,"On level patch of bogland, on NW slopes of Musherabeg Mountain. Investigated by L.S. Gogan on 8th July, 1931 (Gogan 1931). No finds were recovered. Interior was flagged and great number of quartzite stones were found about entrance. Circle complete; axial and E side stone fallen since Gogan's time. Orthostats are 0.5m to 0.7m L, 0.35m to 0.5m T and 1.3m to 1.5m H. Internal measurement along main axis, aligned NNE-SSW, is c. 3m. Pair of standing stones (6558) c. 3m to SW, and radial-stone cairn (6490) 7m to E. (Ó Nualláin 1984a, 32, no. 54). National monument no. 420.The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.Date of upload/revision: 14 January 2009This monument is subject to a preservation order made under the National Monuments Acts 1930 to 2014 (PO no. 165/1941).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-095002-
Carriganimmy,Cork,CO07109,FISC,Stone circle - five-stone,51.992127,-9.030129,"On level patch of moorland on W slopes of Musherabeg mountain overlooking Foherish River valley. Circle complete. Orthostats are 0.6m to 1.3m L, 0.3m to 0.4m T and 0.6m to 0.9m H. Internal measurement along main axis, aligned NE-SW, is 2.9m. Standing stone (6630) 5.75m to SE. (O Nualláin 1984a, 32, no. 55)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-097001-
Lackdotia,Cork,CO07182,STCI,Stone circle,52.032143,-9.026458,"According to Broker (1937, 28), 'A couple of feet from it [standing stone 6801], were 6 or 7 smaller stones arranged in circle. Gallán 2 feet outside circle. Smaller stones were removed by James Kelliher in 1915 when ploughing. Smaller stones were like flags 2 feet under and 2 feet over the ground. Circle was 7 or 8 feet in diameter'. No visible surface trace.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO048-167----
Carrigagulla,Cork,CO07206,FISC,Stone circle - five-stone,52.003625,-8.914572,"In gentle sloping bogland, on W side of Laney River valley. Circle of irregular outline; one entrance stone angled inwards from circumference. Orthostats are 0.5m to 1.2m L, 0.4m to 0.5m T and 0.5m to 1.2m H. Stones decrease in height from entrance to axial stone. Internal measurement along main axis, aligned ENE-WSW, is c. 2.5m. Multiple-stone circle (CO049-008----) 400m to SSW. (O Nualláin 1984a, 32, no. 56)The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO049-007----
Carrigagulla,Cork,CO07207,MUSC,Stone circle - multiple-stone,52.000429,-8.916342,"On level patch in gently sloping pasture, on W side of Laney River basin. Circle incomplete; may have consisted of seventeen stones. Fifteen stones survive, including axial and radially-set entrance stones. Orthostats are 0.6m to 1.7m L, 0.25m to 0.4m T and 0.4m to 0.9m H. Internal measurement along main axis, aligned ENE-WSW, is 7.8m. Internal block (H 0.4m; 0.9m x 0.6m) stands on main axis of circle. Five-stone circle (CO049-007----) stands c. 380m to NNE. (O Nualláin 1984a, 12, no. 4)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO049-008----
Oughtihery,Cork,CO07231,FISC,Stone circle - five-stone,51.988252,-8.887789,"In level boggy ground, at N foot of Carrigagour Hill on S side of Laney River basin. Circle complete; S entrance stone leans markedly to E. Stones are 0.5m to 1.2m L, 0.4m to 0.5m T and 0.5m to 1.2m H. Internal measurement along main axis, aligned ENE-WSW, is 2.3m. (O Nualláin 1984a, 33, no. 57)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO049-029----
Gowlane North,Cork,CO07287,MUSC,Stone circle - multiple-stone,52.020823,-8.751676,"In rough pasture, near headwaters of Rathcoola River. Circle incomplete; probably comprised nine stones. Six erect and two fallen stones remain; these include axial stone and radially-set entrance stones. Two further stones stand beyond entrance and form passage, 2.4m L. Orthostats are 0.5m to 1.6m L, 0.25m to 0.4m T and 0.7m to 0.95m H. Internal measurement along main axis, aligned NNE-SSW, is c. 6.5m. (O Nualláin 1984a, 12-3, no. 5)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO050-008----
Kilmartin Lower,Cork,CO07355,MUSC,Stone circle - multiple-stone,51.991648,-8.80017,"On level patch of pasture, on E side of Dripsey River valley. Circle incomplete, probably comprised seven stones. Five erect stones and one displaced stone remain; these include axial stone and entrance stones. Orthostats are closely set and measure 1m to 1.7m L, 0.25m to 0.4m T and 0.85m to 1.1m H. Internal measurement along main axis, aligned ENE-WSW, is 3.4m. Standing stone (CO050-061002-) 2m to SW of axial stone (H 1.2m; 1.3m x 0.4m). (O Nualláin 1984a, 13, no. 6)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO050-061001-
Knockantota North,Cork,CO07504,FISC,Stone circle - five-stone,52.039077,-8.644482,"In forest, on NW slope of Rock Hill on E side of Clyda River valley. Possible five-stone circle represented by one erect and three prostrate slabs. Orthostat is 1.15m L, 0.25m T and 1.1m H. Socket visible beside prostrate slab to W indicates diameter of c. 4.4m. Pair of standing stones (CO051-178----) stands 10m to NNW.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO051-018----
Pluckanes North,Cork,CO07532,FISC,Stone circle - five-stone,52.011755,-8.677303,"In level pasture, on W side of Fiddler's Brook. Monument destroyed sometime prior to 1910. Pieces of pottery found in course of destruction. Early accounts record five-stone circle having internal measurement along main axis, apparently aligned N-S, of c. 3.3m. Orthostats were c. 0.9m to c. 1.8m L and c. 0.75m to c. 0.9m H. According to OS Memoranda for Co. Cork (1933), four of the stones were buried by the landowner in field where they stood; the fifth (CO051-043004-) was removed to the SE corner and used as gate pillar. This stone was shown on 1938 OS 6-inch map, named 'Gallán'; there is now no visible surface trace. A three-stone row (CO051-043003-) stood c. 75m to ENE. (RIA MS 12. W.2, no. 32; O Nualláin 1984a, 33, no. 58; Walsh 1998)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Updated by: Paul Walsh  Revised date of upload: 20 April 2015", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO051-043001-
Grenagh South,Cork,CO07604,FISC,Stone circle - five-stone,52.00751,-8.629054,"Probable five-stone circle. Destroyed between 1933 and 1963. In shallow valley opening E to Martin River basin. Earlier accounts record two entrance stones and axial stone with prostrate slab between them at centre. Orthostats were c. 1.1m to c. 2.2m L, c. 0.17m to 0.45m T and c. 0.9m to c. 1.2m H. Overall measurement along main axis, aligned approximately NE-SW, was c. 4.4m. (O Nualláin 1984a, 33-4, no. 59)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO051-103----
Dromgarriff South,Cork,CO07661,FISC,Stone circle - five-stone,51.991352,-8.549021,"In pasture, on E side of broad basin of River Martin. Probable five-stone circle; one stone survives (H 1.25m; 0.75m x 0.25m). Nineteenth century sketch and note record three erect and two prostrate stones (diam. c. 3m) and 'An earthen vessel found here by diggers, broken'. (O Nualláin 1984a, 34, no. 60)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO051-153----
Gort Na Tiobratan,Cork,CO08168,FISC,Stone circle - five-stone,51.929731,-9.173312,"In boggy ground, near top of hill. Circle incomplete; N entrance stone is missing. Orthostats are 0.7m to 0.8m L, 0.45m to 0.5m T and 0.6m to 0.8m H. Internal measurement along main axis, aligned E-W, is c. 2.3m. Anomalous group of standing stones (CO058-030---) 90m to NE. (O Nualláin 1984a, 34, no. 61)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO058-029----
Carrigonirtane,Cork,CO08254,FISC,Stone circle - five-stone,51.974131,-9.040269,"On terrace of E-facing slope of Foherish River valley. Axial stone and radially-set entrance stones survive; W entrance stone broken, stump in situ. Internal measurement along main axis, aligned NNE-SSW, is c. 2.3m. Prostrate slab (2.7m x 0.9m x 0.6m) 4.5m to WNW may be fallen standing stone.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-011----
Gortavranner,Cork,CO08351,STCI,Stone circle,51.951511,-9.017894,"Not shown on 1842 and 1903 OS 6-inch maps. Marked on 1940 OS 6-inch map as circle of 7 stones c. 50m W of anomalous stone pair (6571). Removed; no visible surface trace. According to O Nualláin (1984a, 48, no. 16), recorded in OS Memoranda as '....nine stones which are embedded in the ground and appear just above the surface, with the exception of the stone marked A which is 2 feet 10 inches above the surface'.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-087001-
Kilboultragh,Cork,CO08427,MUSC,Stone circle - multiple-stone,51.92988,-8.988657,"Monument destroyed between 1963 and 1970. It stood on level patch of arable land. Early accounts indicate circle of nine or perhaps eleven stones, c. 9m diam., with internal block near centre (H 0.6m; 0.6m x 0.6m). Orthostats were 0.6m to 1.5m L, 0.2m to 0.6m T and 0.45m to 0.9m H. (O Nualláin 1984a, 13-4, no. 7)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO059-151----
Oughtihery,Cork,CO08526,MUSC,Stone circle - multiple-stone,51.970569,-8.851375,"In flat pasture, near headwaters of Delehinagh River. Circle incomplete; probably consisted of seven stones. Five erect stones remain; these include axial stone and N entrance stone. Orthostats are 0.7m to 1.7m L, 0.3m to 0.35m T and 0.78m to 0.95m H. Internal measurement along estimated main axis, aligned ENE-WSW, is 2.7m. (O Nualláin 1984a, 14, no. 8)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO060-042----
Rylane,Cork,CO08735,FISC,Stone circle - five-stone,51.981966,-8.817394,"In flat pasture, on SW side of Rylane River. Circle complete; interior filled with field stones. Loose slab lies between axial stone and W sidestone. Orthostats are 1m to 2.1m L, 0.2m to 0.4m T and 0.8m to 1m H. Internal measurement along main axis, aligned NE-SW, is 3.5m. (O Nualláin 1984a, 36, no. 65)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO061-001----
Leckaneen,Cork,CO08856,FISC,Stone circle - five-stone,51.941058,-8.814498,"Near head of shallow valley opening to SE. This circle was represented by four prostrate slabs and W side stone, indicating diameter of c. 3.5m. Slabs were 1.1m to 1.7m X 0.9m to 1m and 0.2m to 0.3m T; sidestone is 1m L; 0.5m T and 1.2m H. A prostrate slab 7m to E was considered to be a possible fallen standing stone. The remains of this monument were removed by 2008 (SMR File). (O Nualláin 1984a, 36, no. 66; Power et al. 1997, no. 6473)  Revised by: Paul Walsh  Revised date of upload: 10 November 2016", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO061-084----
Carriganine,Cork,CO10066,FISC,Stone circle - five-stone,51.895723,-8.980787,"In pasture, on S side of hill overlooking Lee River valley. Probable five-stone circle represented by two orthostats and three apparently displaced stones along fence to S. W stone is 0.8m L, 0.7m T and 1m H; E stone is 1.1m L, 0.4m T and 1.1m H. (O Nualláin 1984a, 37, no. 69)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO070-092----
Laharankeal,Cork,CO08655,FISC,Stone circle - five-stone,51.944194,-8.880795,"On SE-facing slope, near top of hill on W side of Glashagarriff River valley. Circle complete; axial stone is prostrate and E side stone displaced. Orthostats are 1m to 1.2m L, 0.3m to 0.8m T and 0.9m to 1.6m H. Estimated internal measurement along main axis, aligned NE-SW, is 2.7m. Stone row (CO060-143----) stands 200m to NE. (O Nualláin 1984a, 36, no. 64)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO060-137----
Gort An Imill,Cork,CO09883,MUSC,Stone circle - multiple-stone,51.913729,-9.150611,"In shallow depression in boggy mountain land, on S side of Douglas Rivervalley. Circle consists of nine stones, 0.5m to 1.1m L, 0.3m to 0.4m T and 0.4 to 0.9m H. Stones decrease in height from entrance to axial stone. Internal measurement along main axis, aligned NNE-SSW, is 7.5m. Internal quartz block (H 0.2m; 0.55m x 0.4m), with quartz pieces possibly broken from it, stands just E of main axis. (O Nualláin 1984a, 14, no. 10)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-013----
Gort An Acra,Cork,CO09885,MUSC,Stone circle - multiple-stone,51.927312,-9.15708,"In moorland, in wide shallow saddle between two hills, 1.5m W of confluence of Douglas and Sullane Rivers. Circle incomplete; may have consisted of thirteen stones. Seven erect stones and five prostrate slabs survive, including axial stone and entrance stones. Orthostats are 0.6m to 1.4m L,0.2m to 0.9m T and 0.5m to 0.9m H. Internal measurement along main axis, aligned NNE-SSW, is 7.5m. (O Nualláin 1984a, 14, no. 9)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-015----
Ré Na Ndoirí,Cork,CO09898,FISC,Stone circle - five-stone,51.903592,-9.157604,"On low platform in rough pasture. Circle complete; orthostats are 0.6m to 1m L, 0.25m to 0.4m T and 0.3m to 0.9m H. Internal measurement along main axis, aligned NE-SW, is 2.4m. Stone row (CO069-027----) stands 120m to SSE. (O Nualláin 1984a, 37, no. 67)  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-026----
An Lománach Mhór,Cork,CO09951,FISC,Stone circle - five-stone,51.924055,-9.247069,"In rough pasture, 30m E of Sullane River between ridges of outcropping rock. Circle complete; interior filled with field clearance stones. Entrance stones parallel, set end-on to circumference. Orthostats are 0.9m to 1.1m L, 0.17m to 0.55m T and 0.8m to 1m H. Internal measurement along main axis, aligned ENE-WSW, is 2.1m.  The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO069-076----
Lissacresig,Cork,CO09978,FISC,Stone circle - five-stone,51.925559,-9.061697,"On ridge on S-facing slope overlooking Sullane River valley. Circle complete; partly incorporated in field fence. Orthostats are 1m to 2.6m L, 0.5m to 1m T and 1.1m to 1.65m H. Internal measurement along main axis, aligned E-W, is 3.5m. (O Nualláin 1984a, 37, no. 68)The above description is derived from the published 'Archaeological Inventory of County Cork. Volume 3: Mid Cork' (Dublin: Stationery Office, 1997). In certain instances the entries have been revised and updated in the light of recent research.Date of upload/revision: 14 January 2009", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=CO070-016----
