townland,county,smrs,entity_id,objectid,class_code,monument_type,latitude,longitude,web_notes,,,,,
BOLEYBOY (Gallen By.),MAYO,MA062-002----,MA03158,93827,BOBA,bowl-barrow,53.978646,-8.952717,,,,,,
CUILLAUN (Gallen By.),MAYO,MA062-093001-,MA03267,93921,BOBA,bowl-barrow,53.937912,-8.920278,"In pasture, prominently sited on the summit of a roughly E–W ridge, affording panoramic views, with Croagh Patrick silhouetted on the far horizon to SW, Nephin mountain to W, and the Ox mountains defining the skyline at NW–E.  Roughly circular mound (20m N–S; 17m E–W; H 3.5m at N, 2.5m at S) with steeply sloping sides falling from a narrow, flat top (diam. c. 5m). A fosse encloses the base of the mound, discernible at NE–S and NW as a very shallow depression (Wth 3-3.5m). A slight rise at the outer edge of the fosse at NE hints at an external bank. The mound is sod-covered and appears to be largely of earthen construction. However, disturbance at the top of the mound reveals stone filled cavities that may represent an internal stone chamber or cist. At W–N a field fence merges with the base of the mound, respecting its curve. A few meters to S of the barrow there is an E–W field fence/townland boundary, 20m to S of which is a complex of buildings associated with a water reservoir and telecommunications mast. Another bowl barrow (MA062-093002-) is located 40m to E on the same ridge top, and there is a mound (MA062-092) c. 140m down slope to W.  Compiled by: Jane O’Shaughnessy  Date of upload: 9 December 2020 ",,,,,
"KILBRIDE (Gallen By.),CUILLAUN (Gallen By.)",MAYO,MA062-093002-,MA03268,93922,BOBA,bowl-barrow,53.937686,-8.919206,"In pasture, prominently sited on the summit of a roughly E–W ridge, affording panoramic views, with Croagh Patrick silhouetted on the far horizon to SW, Nephin mountain to W, and the Ox mountains defining the skyline at NW–E.  Roughly circular mound (16.6m E–W; 13.5m N–S; H 2m at W, 2.3m at E) with steeply sloping sides falling from a narrow, flat top (diam. 3.8m). Enclosing the base is a broad, shallow fosse (Wth 4m), with a slightly raised rim (Wth 3.5-4m; int. H 0.2-0.6m) on its outer edge at W–N–E, which appears to be the remnants of an external bank. The fosse is barely discernible on the S arc. An upright stone (L 1.2m; Wth 0.4m; H 0.45m), long axis WNW–ESE, is set in the base of the fosse at W.  The mound is sod-covered; where the sod has been denuded in parts by farm stock, the mound appears to be of earthen construction. It is overlain on its S edge by a field wall/townland boundary that arcs slightly to respect the curve of the mound. To S of the wall, the poorly defined fosse is slightly truncated by a complex of buildings associated with a water reservoir and telecommunications mast. There is another bowl barrow (MA062-093001-) located 40m to W, and a mound (MA062-092----) c. 200m down slope to W on the same ridge.  Compiled by: Jane O’Shaughnessy  Date of upload: 9 December 2020 ",,,,,
SHIGAUNAGH,GALWAY,GA122-128----,GA07219,37616,BOBA,bowl-barrow,53.101115,-8.897809,"On a ridge in pastureland. This poorly preserved circular ring-barrow (diam. 22m) comprises a central mound (diam. c. 8m; H 1.12-1.18m) encircled by a fosse and external bank. There is a possible entrance gap at WSW. The monument is overgrown with trees.  Compiled by: Galway Archaeological Survey, UCG  Date of upload: 16 August 2019 ",,,,,
PALMERSTOWN,GALWAY,GA083-067----,GA03714,44560,BOBA,bowl-barrow,53.286558,-8.845436,"One of four barrows on Athenry golf course (GA083-066----; GA083-067----; GA083-068----; GA083-075----). On E end of a low ridge between the 13th and 14th fairways. Classified as 'bowl-barrow' (Topgr. Files, OPW) but described by Rynne (1991, 28-9) as a 'ring-barrow' (diam. c. 15m) it consists of a circular mound (diam. c. 9.5m), in fair condition, encircled by a fosse and a low external bank. The bank is best preserved from SE to SW and from NW to NNE.    Compiled by: Paul Walsh  Date of upload: 2 March 2015",,,,,
CARRIGEEN (Coshma By.),LIMERICK,LI030-016----,LI02658,88425,BOBA,bowl-barrow,52.514053,-8.74763,"On the NW side of a gently sloping ridge incorporated into the N boundary of a domestic garden 650m NE of the townland boundary with Dollas. A standing stone (LI030-017----) is located 140m to NE. The site is not depicted on the 1840 ed. OSi 6-inch map but is depicted as a mound (ext. dims. c. 14m N-S; 15m E-W) in a field on the 1897 ed. OSi 25-inch map. The site is visible as rough ground within an enclosed garden to the rear of a house on the OSi orthoimage taken 2005-12 and on the Digital Globe orthoimages taken 2011-2013. The mound is visible on the Google Earth orthoimage taken 28/06/2018. The site is visible as a mound (Wth. 6m) surrounded by a fosse (Wth. 1.5m) with an external bank (Wth. 2m) on the most recent Google earth orthoimage taken 14/02/2020. Archaeological monitoring of groundworks associated with the development of a house 40m S of the site did not reveal any archaeological deposits (Hayes 2004, 311).See attached Google Earth orthoimagesCompiled by: Edmond O’DonovanDate of upload: 28 September 2020  ",,,,,
"CARRAUN (Leyny By., Tobercurry ED)",SLIGO,SL031-051----,SL04022,122231,BOBA,bowl-barrow,54.081917,-8.744973,"In pasture, on top of a low but prominent rise. A circular flat-topped mound (diam. c. 20m at base, c. 4.7m at top; H 4m). According to local information, the E edge of the mound was dug into prior to 1900.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
CARNYARA,SLIGO,SL032-071----,SL04129,122292,BOBA,bowl-barrow,54.097226,-8.695912,"In pasture, on top of a ridge. A circular mound (diam. at base 11m; H 1.8m) with a flat top (diam. 2.5m). A surrounding fosse (Wth 4m; D 0.2m) is evident along the W arc. A triangulation spot height is indicated here on the 1838 OS 6-inch map. A levelled barrow (SL032-220----) is c. 50m to ESE, a mound barrow (SL032-224----) c. 500m to NNE and another (SL032-072----) c. 200m to S, all on the same ridge.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
BARRINAGH (Castlereagh By.),ROSCOMMON,RO032-009001-,RO03659,114952,BOBA,bowl-barrow,53.709466,-8.693178,"In a slight hollow on an undulating landscape. This is a round-topped, oval, hazel-covered mound (dims of top 10.9m E-W; 10.5m N-S; dims of base 45m N-S; 33m E-W; H 3.6m at E to 4.8m at S) separated by a berm (Wth 4-5m) from a flat-bottomed fosse (Wth of top 6.4-8.8m; Wth of base 2-3m; int. D 1.7-2.4m; ext. D 0.5-1m). There is a slight earthen bank (Wth c. 3m; int. H 0.2-0.4m) planted with whitethorn on the inner edge of the fosse, which survives S-NW and NE-SE (max. ext. dims 71m N-S; 61.3m E-W). The perimeter is quarried at SSW (diam. c. 9m), N-NE and at ENE.  An oval overgrown subcircular mound (RO032-009004-) (dims of base c. 25m ENE-WSW; 19.8m NNW-SSE; H 3m) extends out from the inner bank at ENE, and may be spoil from the quarries, although it has been interpreted as a bailey, and the barrow as a motte (Knox 1911a, 307-310; Graham 1988b, 26). Field system (RO032-009002-) is immediately to the NW, and rath (R032-008001-) is c. 80m to the NE. (Doran 2005, 377)  Compiled by: Michael Moore  Date of upload: 24 August 2010 ",,,,,
BALLINROCHE EAST,LIMERICK,LI022-006----,LI01832,77704,BOBA,bowl-barrow,52.572852,-8.682641,"In low-lying, wet level pasture, with restricted views in all directions. Monument surveyed by the ASI in 2000 and described as a circular-shaped flat-topped mound (diam. 9.8m; H 1m) enclosed by a broad, shallow, waterlogged fosse (overall Wth 14.2m; base Wth 11m; D 0.3m). Monument is visible as a circular-shaped tree-planted earthwork on Digital Globe orthophotos taken 2011-13 and on Google Earth orthoimage taken 28/06/2018. See attached Google Earth orthoimages.Compiled by: Alison McQueen and Vera RahillyDate of upload: 11 August 2020",,,,,
GARRANE (Pubblebrien By.),LIMERICK,LI031-004----,LI02788,88540,BOBA,bowl-barrow,52.52522,-8.675344,"On a NNW-facing slope, in pasture with moderate views to N and S, 115m W of a townland boundary with Monaster North. Enclosure (LI031-005----) lies 125m to E. Annotated ‘Sheenafinnoge Fort’ (Sídh na Fionnóige (hill of the raven)  on the 1840 ed. OSi 6-inch map (OSNB Monasteranenagh Parish).  Depicted on 1897 ed. OSi 25-inch map as a small, subcircular-shaped mound. Referred to by Westropp (1920, 372) as Síd Asail and described as a ‘holy mound’ in the vicinity of a pair of conjoined ringforts (LI031-010002-) indicated as the assembly place of the Óenach Cairbre, which lies 1.1km to SE. According to Westropp (1919, 19) an iron sword and mace were excavated from the mound in the 1800s and sent to the National Museum of Ireland.  Cantwell (1955, 48) recorded the following about  'Sheenavanogue. Sidhe na BhFeannog, the fairy mound of the scald crows.  This mound was partially opened upwards of a century ago and a sword and axe, both of iron, were found in it.  It is thought that it was the burial site of soldiers slain in the 1579 battle between Malby and the Earl of Desmond and that it thus marks the scene of the conflict, but while it may have served this purpose it was undoubtedly a mound sacred to the sidhe or fairy-folk'.   Monument surveyed by the ASI in 2007 and described as a raised circular-shaped mound (4.7m N-S; 4m E-W) the summit of which has a depression enclosed by an earthen bank (Wth 8.6m; int. H 0.3m; ext. H 3.15m) with the remains of a fosse (overall Wth 10.5m; basal Wth 2.0m; D 0.15m) best defined from ESE-SE-S-SSW, with a causewayed entrance (Wth 4m) at SSW and an outer bank (Wth 7.1m; int. H 0.45m; ext. H 0.85m) visible from NE-ENE and from ESE-S-SSW.  The summit of the small mound has a hollow-like appearance probably the result of the excavation carried out on the earthwork in the 19th century.  Monument is visible as an oval-shaped tree-planted earthwork on OSi aerial orthoimage taken 2005-2012, on Digital Globe orthoimage taken 2011-2013 and on Google Earth orthoimage taken 28/06/2018.  See attached Google Earth orthoimage and sketch plans, cross-sections and photographs surveyed, drawn and taken by the ASI. Also sketch plan of the assembly place of the Óenach Cairbre and other associated monuments in its vicinity, on the floodplain of the Camoge River (after Westropp 1920, 373).    Compiled by: Alison McQueen and Vera Rahilly  Date of upload: 27 October 2020  ",,,,,
CARROWLOUGHAN EAST,SLIGO,SL032-227----,SL04325,112502,BOBA,bowl-barrow,54.127068,-8.672407,"In pasture, on the crest of a rise, with Knocknashee Hill visible to the S. A circular mound (diam. 29.5m; H 1.8m) surrounded by a wide fosse (Wth 5m; D 0.3m) SW-NE. Some quarrying has occurred on the S side.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
BALLINDOO OR DOOCASTLE,MAYO,MA052-009----,MA02660,99314,BOBA,bowl-barrow,54.017114,-8.648065,"In pasture, at the junction of four field fences, prominently located on a top of a hill, the highest point (OD 372’) in the locality, with panoramic views of the surrounding grassland mixed with expanses of bog. Knocknarae, crowned by Maeve’s cairn (SL014-), is visible on the far horizon to N, with Ben Bulben to NW. This bowl barrow is named ‘Doomore Fort’ on the 1838 and 1920 OS 6-inch maps.  It consists of a substantial circular mound (diam. 27.4m; H 5m) with a domed profile. Enclosing the base of the mound is a broad, shallow depression/fosse, defined on its outer edge on the W half by an earthen field fence (Wth 0.8-1m; int. H 1.35m; ext. H 0.55m) and on the E half by a field wall (Wth 0.8m; int. H 1.1m; ext. H 0.3m). The fosse varies in width (Wth 7-8m at E and W, 5.5m at N, 6.5m at S). It appears slightly sunken relative to exterior ground level, suggesting that it is a primary fosse, rather than merely a gap intervening between the mound and field fence. The field fence is similar in form to others in the vicinity; it is relatively narrow relative to the fosse, and does not appear to be an original enclosing bank.  A small eroded section of the mound slope at W reveals that it is composed of earth and stone. It is grass-covered, with gorse bushes growing on S side. The encircling field fence is ringed with hawthorn bushes.  Compiled by: Jane O'Shaughnessy  Date of upload: 26 June 2020 ",,,,,
KNOCKADOO (Leyny By.),SLIGO,SL025-035----,SL03318,121299,BOBA,bowl-barrow,54.15945,-8.646689,"In pasture, at the E end of the summit of a ridge which affords a panoramic view. A circular sod-covered flat-topped mound of earth and stone (diam. 18.5m at base, 4.8m at top; H 4.2m). A small section of the top of the S edge of the mound has been dug away. The sides are steep and eroding in places. A field boundary (not shown on the 1838 OS 6-inch map) is immediately to NE. A rath (SL025-034----) lies c. 60m to SW.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
MOUNTBLAKENEY,LIMERICK,LI047-036----,LI04798,85807,BOBA,bowl-barrow,52.379413,-8.642493,"In reclaimed pasture 90m N of a watercourse that marks the townland boundary with Garrynderk North.  Castle (LI047-039----) lies 160m to SE.  Not depicted on the 1840 ed. OSi 6-inch map.  It is shown on the 1897 ed. OSi 25-inch map as a small circular-shaped mound (diam. c. 12m) defined by a fosse with traces of an external bank from SW-W-NW, reduced to a scarp elsewhere.  Intersected at S by drainage ditch running NW-SE. Outline of tree-covered mound with fosse and traces of an external bank are visible on Google Earth orthoimage dated 16/03/2016.   See attached Google Earth orthoimages.   Compiled by: Martin Fitzpatrick   Date of upload: 13 August 2021",,,,,
BALLINVALLY WEST,SLIGO,SL038-059----,SL05355,123740,BOBA,bowl-barrow,54.053548,-8.638659,"In pasture, just off the crest of a drumlin. Described as an oval mound (16.8m N-S; 13m E-W; H 2.4m), domed in profile, with a 'slight bevel' towards the bottom at the E edge; faint traces of a fosse (Wth 1m) were noted along the E arc and where the grass cover had been removed the mound appeared to be composed of clay (pers. comm. M. Keane and J. Farrelly). A rath (SL038-058----) lies c. 50m to NNW.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
CLARAGH IRISH,SLIGO,SL032-057----,SL04112,117480,BOBA,bowl-barrow,54.112648,-8.635484,"In a hazel coppice, on the S-facing slope of a ridge. A roughly circular round-topped earthen mound (diam. c. 21.5m at base; H 1.8m) surrounded by a fosse (Wth 5m; D 0.4m). The barrow is heavily poached by cattle.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
"DOOBEG (Corran By., Kilturra ED)",SLIGO,SL038-113----,SL05428,123815,BOBA,bowl-barrow,54.028665,-8.630402,"In pasture, on top of a ridge. A round-topped roughly circular earthen mound (diam. 12.5m at base; H 3.2m), partially eroded by animals and quarrying. Possible stone kerbing was noted along N and NE arcs (pers. comm. M. Keane and J. Farrelly). A circular enclosure (SL038-114----) lies c. 130m to E.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
BOOKEEN SOUTH,GALWAY,GA097-021----,GA04690,45608,BOBA,bowl-barrow,53.255747,-8.625949,"On the summit of a densely wooded rise. During the course of an illegal excavation in 1980 into this small, roughly circular, overgrown earthen mound (diam. c. 6.7m; H < 1.4m) an unprotected crouched adult skeleton (possibly male), aligned E-W, was found. The mound was described as 'bow-barrow type burial mound' (Topgr. files, NMI).   Compiled by: Galway Archaeological Survey, UCG  Date of upload: 12 November 2019  ",,,,,
CLOONACLEIGHA,SLIGO,SL032-080----,SL04139,122299,BOBA,bowl-barrow,54.073094,-8.598179,"On the S-facing slope of a drumlin. According to local information, a high steep-sided mound was levelled during recent land reclamation and is no longer visible at ground level (pers. comm. M. Keane and J. Farrelly).  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
FALNASOOGAUN OR ROPEFIELD,SLIGO,SL032-040----,SL04086,122275,BOBA,bowl-barrow,54.12406,-8.596908,"In pasture, on top of a low rise. A grass-covered dome-shaped mound (diam. c. 8m; H c. 2m) of earth and stone with some hawthorn bushes growing on it.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
LISSADILL,SLIGO,SL008-003----,SL00548,119187,BOBA,bowl-barrow,54.354622,-8.584739,"On flat rough pasture with excellent views. Recorded in 1991 as a large oval earthen mound (dims. 9.7m x 4.2m; H 4m), conical in section, rising in terraces above a platform (SMR file).  Compiled by: Patrick F. O'Donovan  Date of upload: 19 April 2011",,,,,
BREAGHWY,SLIGO,SL005-069----,SL06704,124874,BOBA,bowl-barrow,54.371017,-8.583479,Situated on a broad gently-sloping hill on slight S-facing slope in pasture. Circular flat-topped mound ( diam. top 3m; diam. base 18m) of earth and rubble stone defined by a steep scarped edge (ext. H 4.35m) with an external fosse (Wth 8m; D 0.1m). The fosse is visible as enclosing the central mound SW-N.   Compiled by: Patrick F. O'Donovan  Date of upload: 21 April 2011,,,,,
FARTA,GALWAY,GA097-102----,GA04765,45684,BOBA,bowl-barrow,53.254454,-8.581422,"On the N-facing slope of a ridge in grassland. Described by Coffey (1904, 14-20), prior to his excavation in 1903, as a circular ‘tumulus’ that was ‘40 feet in diameter and 9 feet in height [diam. 12.2m; H 2.7m]’.  The excavation revealed that it was constructed of stones and earth with a layer of sandy soil at a depth of c. 0.9m. Beneath this layer, in the centre of the mound, lay the unprotected extended skeleton of an adult female whose head faced W. On one side, and to the S of the skeleton were a number of red deer bones and the skeleton of a horse. At the centre of the mound, on the old ground level, was an unprotected inverted cordoned urn containing cremated human bone, which rested on a flat slab (Waddell 1990, 93). When surveyed by Cody (1989, 152-3) it appeared as a disturbed circular inverted bowl-shaped mound with traces of a possible encircling fosse (Wth 2-3m; max. D 0.5m) on its W side. The E side had been partly removed, possibly as a result of the excavation. It was subsequently levelled and a barn was built on it. Probably a bowl-barrow. (Knox 1916c, 192-3 may also be referring to this mound; Waddell 1975, 16)   Compiled by: Galway Archaeological Survey, UCG  Date of upload: 12 November 2019",,,,,
CARROWNTAWY,SLIGO,SL026-116----,SL03599,121907,BOBA,bowl-barrow,54.130245,-8.57602,"In undulating pasture, on top of a ridge. A subcircular earthen mound (7.5m N-S; 4m E-W; H 1.75m) with a central depression (3.7m x 4m) on top. A shallow fosse (Wth 1m; D 0.1m) is evident along the W arc of the mound and two trees grow in its N end.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
"BALLINPHULL (Carbury By., Lissadill East ED)",SLIGO,SL005-099----,SL00340,118978,BOBA,bowl-barrow,54.365357,-8.575859,Situated on a broad gently sloping hill on slight S-facing slope in pasture. Circular flat-topped mound (dims. diam. top 3m; diam. base 18m) of earth and rubble stone defined by a steep scarped edge (ext. H 4.35m) with an external fosse (Wth 8m; D 0.1m). The fosse is visible as enclosing the central mound SW-N.   Compiled by: Patrick F. O'Donovan  Date of upload: 21 April 2011,,,,,
DRANGAN OR MOUNTEDWARD,SLIGO,SL005-072----,SL00307,118923,BOBA,bowl-barrow,54.379129,-8.553501,"Situated on the level summit of low, broad gently sloping E-W orientated ridge. Natural ground level slopes down gently to 15m to the N and S of the site. Circular flat-topped mound (dims. diam. top 12m; diam. base 34m) defined by a steep scarped edge (ext. H 8m) with an external fosse (Wth 8.1m; D 0.25m). A small triangular quarry (L NE-SW 10m; max. Wth NW-SE at NE end 6m; max. D 0.4m) is located on the side of the mound at NE. The fosse is visible as enclosing the central mound NW-NE.   Compiled by: Patrick F. O'Donovan  Date of upload: 21 April 2011",,,,,
BALLYNACARROW NORTH,SLIGO,SL026-125----,SL03610,121918,BOBA,bowl-barrow,54.142311,-8.545701,"In pasture, c. 20m W of the Owenmore River. A flat-topped conical mound of earth and stone (diam. 10.5m at base; H 6.3m). A ring-barrow (SL026-124----) lies c. 100m to WSW.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
CAMROSS,SLIGO,SL033-088----,SL04447,122498,BOBA,bowl-barrow,54.09246,-8.535049,"In pasture, on top and towards the W end of the level summit of a ridge. An almost conical mound (diam. 14m at base, 1.4m at top; H 2.5m). Two small now disused quarry pits are dug into the base of the mound, one at NW and the other at NE. The sides of the mound have been eroded by livestock NE-SE and as a result some loose rocks have fallen from it. There are now no visible remains of the stone setting (Wth 0.7m; H 0.5m) close to the base of the mound at SE which was noted by M. Keane and J. Farrelly (pers. comm.).  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
CARROWNREE (Corran By.),SLIGO,SL026-136----,SL02885,113749,BOBA,bowl-barrow,54.137543,-8.522577,"In natural woodland, on the summit of Doon Hill. Views are restricted by trees but Maeve's Cairn (SL014-076----) is clearly visible in the distance on top of Knocknarea to W. A roughly circular largely sod-covered mound (diam. at base: 23.5m E-W; c. 20m N-S; H 3.5m) of earth and stone. The flat top (diam. c. 6m) is uneven and disturbed in appearance and W-NW is broadly slumped. The mound has been quarried into at N and E; bedrock immediately to N has also been quarried out. Overgrowth obscures much of the NE edge of the mound.  The above description is derived from the published 'Archaeological Inventory of County Sligo' compiled by Ursula Egan, Elizabeth Byrne, Mary Sleeman with Sheila Ronan and Connie Murphy (Dublin Stationery Office, 2005).   Date of upload: 18 January 2008",,,,,
