GRID_CODE,CLC_CODE,LABEL1,LABEL2,LABEL3,RGB,Combined_label
23,311,Forest and semi natural areas,Forests,Broad-leaved forest,128-255-000,Forest and semi natural areas-Forests-Broad-leaved forest
24,312,Forest and semi natural areas,Forests,Coniferous forest,000-166-000,Forest and semi natural areas-Forests-Coniferous forest
25,313,Forest and semi natural areas,Forests,Mixed forest,077-255-000,Forest and semi natural areas-Forests-Mixed forest
26,321,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Natural grasslands,204-242-077,Forest and semi natural areas-Scrub and/or herbaceous vegetation associations-Natural grasslands
27,322,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Moors and heathland,166-255-128,Forest and semi natural areas-Scrub and/or herbaceous vegetation associations-Moors and heathland
28,323,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Sclerophyllous vegetation,166-230-077,Forest and semi natural areas-Scrub and/or herbaceous vegetation associations-Sclerophyllous vegetation
29,324,Forest and semi natural areas,Scrub and/or herbaceous vegetation associations,Transitional woodland-shrub,166-242-000,Forest and semi natural areas-Scrub and/or herbaceous vegetation associations-Transitional woodland-shrub
30,331,Forest and semi natural areas,Open spaces with little or no vegetation,"Beaches, dunes, sands",230-230-230,"Forest and semi natural areas-Open spaces with little or no vegetation-Beaches, dunes, sands"
31,332,Forest and semi natural areas,Open spaces with little or no vegetation,Bare rocks,204-204-204,Forest and semi natural areas-Open spaces with little or no vegetation-Bare rocks
32,333,Forest and semi natural areas,Open spaces with little or no vegetation,Sparsely vegetated areas,204-255-204,Forest and semi natural areas-Open spaces with little or no vegetation-Sparsely vegetated areas
33,334,Forest and semi natural areas,Open spaces with little or no vegetation,Burnt areas,000-000-000,Forest and semi natural areas-Open spaces with little or no vegetation-Burnt areas
34,335,Forest and semi natural areas,Open spaces with little or no vegetation,Glaciers and perpetual snow,166-230-204,Forest and semi natural areas-Open spaces with little or no vegetation-Glaciers and perpetual snow
35,411,Wetlands,Inland wetlands,Inland marshes,166-166-255,Wetlands-Inland wetlands-Inland marshes
36,412,Wetlands,Inland wetlands,Peat bogs,077-077-255,Wetlands-Inland wetlands-Peat bogs
37,421,Wetlands,Maritime wetlands,Salt marshes,204-204-255,Wetlands-Maritime wetlands-Salt marshes
38,422,Wetlands,Maritime wetlands,Salines,230-230-255,Wetlands-Maritime wetlands-Salines
39,423,Wetlands,Maritime wetlands,Intertidal flats,166-166-230,Wetlands-Maritime wetlands-Intertidal flats
40,511,Water bodies,Inland waters,Water courses,000-204-242,Water bodies-Inland waters-Water courses
41,512,Water bodies,Inland waters,Water bodies,128-242-230,Water bodies-Inland waters-Water bodies
42,521,Water bodies,Marine waters,Coastal lagoons,000-255-166,Water bodies-Marine waters-Coastal lagoons
43,522,Water bodies,Marine waters,Estuaries,166-255-230,Water bodies-Marine waters-Estuaries
44,523,Water bodies,Marine waters,Sea and ocean,230-242-255,Water bodies-Marine waters-Sea and ocean
